Risk ID,Risk Title,Category,Description,Likelihood (1-5),Impact (1-5),Inherent Score,Existing Control,Mitigation Action,Owner,Due Date,Residual Likelihood,Residual Impact,Residual Score,Status,Data Classification
R-001,Cash-flow shortfall,Liquidity,Delayed collections reduce available cash,4,5,20,Monthly cash review,Weekly rolling cash forecast and contingency funding,Finance Manager,2026-07-31,3,4,12,Open,Simulated pilot data
R-002,High leverage pressure,Debt,Liabilities constrain financing flexibility,4,4,16,Management review,Debt repayment and refinancing plan,CEO/Managing Director,2026-08-31,3,3,9,Open,Simulated pilot data
R-003,Financial data inconsistency,Information,Conflicting cash balances reduce decision confidence,4,5,20,Manual review,Reconcile statements and lock approved reporting version,Finance Manager,2026-07-25,2,3,6,Open,Derived from document review
R-004,Customer payment delay,Credit,Receivables are collected later than forecast,4,4,16,Invoice follow-up,Customer ageing and collection escalation,Finance Manager,2026-08-15,3,3,9,Monitoring,Simulated pilot data
R-005,Resource over-allocation,Resource,Critical staff are assigned beyond capacity,4,3,12,Manager review,Capacity plan and priority-based reallocation,SFPMS Process Owner,2026-08-01,2,3,6,Open,Derived from management review
R-006,Stakeholder resistance,Stakeholder,Users resist new planning controls,3,4,12,Informal communication,Structured consultation and training,SFPMS Process Owner,2026-08-20,2,3,6,Open,Derived from questionnaire barriers
R-007,Forecast error,Financial Planning,Weak assumptions reduce forecast reliability,3,4,12,Spreadsheet review,Assumption register and monthly accuracy analysis,Finance Manager,2026-09-01,2,3,6,Open,Simulated pilot data
R-008,Approval delay,Governance,Decision gates are not completed on time,3,3,9,Email reminders,Automated alerts and escalation thresholds,SFPMS Process Owner,2026-08-10,2,2,4,Monitoring,Simulated pilot data
R-009,Skills gap,Human Resource,Limited financial planning expertise reduces adoption,4,3,12,Ad hoc support,Five-day SFPMS training programme,CEO/Managing Director,2026-08-31,2,2,4,Open,Derived from questionnaire barriers
R-010,System data loss,Technology,Local prototype data could be lost,3,5,15,Manual copy,Daily export and controlled backup,System Administrator,2026-07-31,2,3,6,Open,Pilot technical risk
